nome,risco,texto_desc,texto_impacto,texto_reco,impacto,prob,cwe
Insecure Direct Object Reference (IDOR),Alto,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Alto,Alto,813
Cross-Site Scripting (XSS),Baixo,O Servidor da aplicação não retorna do cabeçalho 'X-XSS-Protection' nas respostas das requisições da aplicação.,As paginas da aplicação ficam sobre forte risco de sofrerem ataques XSS.,Configure seu servidor web para incluir um cabeçalho 'X-XSS-Protection' com um valor de '1; mode = block 'em todas as páginas.,Baixo,Baixo,693
Cross-Site Request Forgery (CSRF),Baixo,Ausencia de Tokens Anti-CSRF,"Cross-Site Request Forgery (CSRF) é um ataque que força um usuário final a executar ações indesejadas em um aplicativo da web no qual ele está autenticado no momento. Com um pouco de ajuda de engenharia social (como enviar um link por e-mail ou chat), um invasor pode enganar os usuários de um aplicativo da web para que executem ações de escolha do invasor. Se a vítima for um usuário normal, um ataque CSRF bem-sucedido pode forçar o usuário a realizar solicitações de alteração de estado, como transferência de fundos, alteração de endereço de e-mail e assim por diante. Se a vítima for uma conta administrativa, o CSRF pode comprometer todo o aplicativo da web.","Para evitar CSRF, tokens anti-falsificação (também conhecidos como tokens de verificação de solicitação) devem ser utilizados.Esses tokens são simplesmente valores gerados aleatoriamente, incluídos em qualquer formulário / solicitação que garanta proteção. Observe que esse valor deve ser exclusivo para cada sessão individual. Isso garante que todo formulário / solicitação esteja vinculado ao usuário autenticado e, portanto, protegido de CSRF.",Baixo,Baixo,352
Falta de Cabeçalhos de Segurança,Baixo,"Durante a análise, foi observada uma resposta válida do servidor contendo um número excessivo de cabeçalhos HTTP. Essa quantidade elevada de headers expõe uma ampla gama de informações, potencialmente sensíveis, que podem auxiliar um atacante em atividades de reconhecimento.","A exposição excessiva de cabeçalhos HTTP pode revelar informações sensíveis sobre a infraestrutura, tecnologias utilizadas, versões de software, tokens ou identificadores internos. Esses dados podem ser utilizados por atacantes para realizar reconhecimento, identificar vetores de ataque e facilitar a exploração de outras vulnerabilidades no ambiente.","Reduza a exposição de informações sensíveis nos cabeçalhos HTTP retornados pelo servidor. Avalie a necessidade de cada header presente na resposta e remova os desnecessários. Além disso, implemente controles para limitar a divulgação de informações técnicas que possam auxiliar um atacante em atividades de reconhecimento.",Baixo,Baixo,209
Clickjacking,Baixo,"O clickjacking, também conhecido como ""UI redress attack"", é quando um agente malicioso carrega o site alvo em algum frame (como o iframe) como primeira camada de abstração CSS e ao mesmo tempo usa várias camadas opacas como segunda camada de abstração CSS sobrepondo a primeira camada, com o objetivo de criar um layout chamativo ao clique do usuário.O usuário, ao clicar em um botão ou link dessa página maliciosa, acredita estar clicando em alguma funcionalidade da camada superior de abstração CSS, quando na verdade está executando a ação da primeira camada, o que normalmente pode ser uma troca de senha, execução de alguma ação confidencial etc. Assim, o atacante está ""seqüestrando"" os cliques do usuário, que acreditava estar clicando em algo legítimo.Usando uma técnica similar, os toques de tecla também podem ser seqüestrados. Com uma combinação cuidadosamente elaborada de stylesheets, iframes e caixas de texto, um usuário pode ser levado a acreditar que está digitando a senha no campo correto, mas digitando em um iframe invisível controlado pelo agente malicioso.",É possível roubar cliques dos usuários explorando a falha de clickjacking no site. Isto é possível pois o site permite enquadrar o seu conteúdo em um iframe não gerenciado pelo próprio.,"Algumas das recomendações sugeridas são:·        Incluir no cabeçalho de resposta as diretivas CSP (Content Security Policy), que instruem o navegador a não permitir o enquadramento (via iframe) de outros domínios.·        Incluir no cabeçalho de resposta o X-Frame-Options.Código defensivo na interface do usuário para garantir que o iframe atual seja a janela de nível superior.",Baixo,Baixo,1021
Cross-Origin Resource Sharing (CORS) Misconfiguration,Médio,"A aplicação aceita o acesso a recursos oriundos de qualquer fonte, incluindo origens não confiáveis. Um aspecto importante do desenvolvimento de aplicações seguras é evitar que origens não confiáveis acessam os recursos do domínio local.","É possível fazer com que domínios arbitrários e não confiáveis acessem recursos do domínio local, contornando a política do SOP. A vulnerabilidade se potencializa caso o domínio vulnerável a CORS também apresente outras vulnerabilidades, como Cross-site Scripting (XSS) e/ou Cross-site Request Forgery (CSRF).","Algumas das recomendações sugeridas são:Limitar quais são os domínios origem que podem acessar recursos via Javascript (como o uso do XHR) no domínio local.Bloquear toda e qualquer origem arbitrária de acessar recursos locais, controlando e permitindo o acesso somente a origens confiáveis que podem acessar os recursos locais.",Médio,Médio,942
Redirecionamento aberto (Open Redirect),Alto,"A aplicação redireciona o usuário para outros endereços, que não sejam o pretendido pela própria aplicação.","É possível sobrescrever valores prévios, redirecionando o usuário para outros endereços, normalmente maliciosos.",Algumas das recomendações sugeridas são:Limitar os dados que a aplicação recebe de usuários.Sanatizar as variáveis que a aplicação recebe dos usuários para que nenhum campo ou cabeçalho seja sobrescrito.Não permitir que a aplicação redirecione usuários para destinos arbitrários.,Alto,Alto,601
Ausência de Rate Limit,Médio,Este tipo de vulnerabilidade é frequentemente encontrada em formulários que não utilizam mecanismos de defesa contra automação de requisições enviadas para o servidor,"Sistemas que utilizam serviços de envio de email, sms ou qualquer outra ferramenta que realize a cobrança por taxa de envio esse tipo de ataque pode resultar em perda financeira para empresa e também sobrecarga dos seus serviços causando retardamento e uma possível negação de serviço causando risco de negócios.",Implementar soluções de segurança contra ferramentas automatizadas como por exemplo códigos que limitam requisições continuas em um período de tempo curto ou uso de recaptchas onde o usuário passa por um processo onde tem que selecionar figuras ou responder algum tipo de pergunta para que a requisição seja validada e enviada para o servidor dessa forma realizando o controle de requisições realizadas por ferramentas automatizadas.,Médio,Médio,799
Path Traversal,Alto,"Um ataque de passagem de caminho (também conhecido como passagem de diretório) visa acessar arquivos e diretórios armazenados fora da pasta raiz da web.Manipulando variáveis que fazem referência a arquivos com sequências ""ponto-ponto-barra (../)"" e suas variações ou usando caminhos de arquivo absolutos, pode ser possível acessar arquivos e diretórios arbitrários armazenados no sistema de arquivos, incluindo o código-fonte do aplicativo ou configuração e arquivos críticos do sistema.Deve-se observar que o acesso aos arquivos é limitado pelo controle de acesso operacional do sistema (como no caso de arquivos bloqueados ou em uso no sistema operacional Microsoft Windows).Este ataque também é conhecido como “ponto-ponto-barra”, “travessia de diretório”, “escalada de diretório” e “retrocesso”.",Um atacante pode conseguir fazer a leitura/download de um arquivo com informações sensíveis dentro do servidor.,"Todos, exceto os aplicativos da web mais simples, precisam incluir recursos locais, como imagens, temas, outros scripts e assim por diante. Sempre que um recurso ou arquivo é incluído pelo aplicativo, existe o risco de um invasor conseguir incluir um arquivo ou recurso remoto que você não autorizou.Prefira trabalhar sem intervenção do usuário ao usar chamadas do sistema de arquivosUse índices em vez de porções reais de nomes de arquivo ao modelar ou usar arquivos de idioma (ou seja, valor 5 do envio do usuário = Checoslovaco, ao invés de esperar que o usuário retorne “Checoslovaco”)Certifique-se de que o usuário não pode fornecer todas as partes do caminho - coloque-o entre o seu path codeValide a entrada do usuário aceitando apenas o bom conhecido - não higienize os dadosUse jaulas chroot e políticas de acesso ao código para restringir onde os arquivos podem ser obtidos ou salvosSe for forçado a usar a entrada do usuário para operações de arquivo, normalize a entrada antes de usar no arquivo APIs de io, como normalize ().",Alto,Alto,23
AWS Subdomain Takeover (S3 Takeover),Info,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Um atacante pode utilizar este subdomínio para efetuar ataques de engenharia social dentro do ambiente da organização ou visando seus funcionários. Também é possível que páginas que possuam alguma dependência com o bucket S3 carregue funcionalidades maliciosas em uma página interna.,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Info,Info,
