nome,risco,texto_desc,texto_impacto,texto_reco,impacto,prob,cwe
Sensitive Information Exposure,Medium,The application exposes the authentication token directly in an HTTP GET request.,"An attacker who intercepts the traffic can capture the session token and hijack the user's session, resulting in disclosure of confidential information.","Session tokens should always be sent via POST (or another method that keeps them out of URLs and logs) to prevent them from being captured in request logs, where a malicious actor could use them to mount a targeted attack.",Medium,Medium,200
Information Exposure Through Error Messages,Low,The application does not handle error conditions correctly and returns internal and/or sensitive information in the HTTP response. Leaking this information can help an attacker craft a more refined and effective attack plan.,The application can be made to return internal information via error messages. Attackers can use this information to enumerate the application and server in preparation for attacks against application logic or third-party libraries and frameworks.,"Suggested recommendations: Handle errors at the server or application level. Sanitize the information returned to the user in responses. Review and fix the input parameters and variables that are not properly sanitized and that triggered the error, so that internal error messages are no longer disclosed.",Low,Low,359
Improper Input Validation,Low,The application does not correctly validate file extensions at upload time.,"An attacker can upload other, potentially malicious, file types to the server.","Verify that the uploaded file name ends with an allowed extension (e.g., "".csv"") before accepting it.",Low,Low,434
Broken Object Level Authorization,High,"The application does not properly verify whether a user is authorized to view another user's information. By tampering with certain parameters and substituting different values, a malicious actor can retrieve confidential and/or sensitive information belonging to other users that should not be accessible.","Malicious actors can obtain other users' information by manipulating vulnerable parameters, leading to potential data leakage. In some cases it is possible to alter other users' critical data, causing data corruption. Impacts include: Exposure of confidential information - full visibility into another user's account data. Data tampering - a malicious actor may be able to access and modify another user's data.","Suggested recommendations: Verify that a user has the appropriate permission to view, edit, or update another user's information. Do not allow parameter tampering to affect the application or return other users' data. Transmit confidential and/or sensitive information over secure channels, including encryption, current and secure tokens, CAPTCHAs, and lockout mechanisms. Avoid easily predictable object identifiers, such as purely sequential numeric values or weak combinations; use identifiers that are difficult to guess in dictionary/brute-force attack scenarios.",High,High,813
Cross-Site Scripting (XSS),Low,The application server does not return an 'X-XSS-Protection' header in its HTTP responses.,Application pages are left at increased risk of XSS attacks.,Configure the web server to include an 'X-XSS-Protection' header with a value of '1; mode=block' on all pages.,Low,Low,693
Cross-Site Request Forgery (CSRF),Low,Absence of anti-CSRF tokens.,"Cross-Site Request Forgery (CSRF) is an attack that forces an authenticated end user to unknowingly execute unwanted actions on a web application. With minimal help from social engineering (such as a link sent via email or chat), an attacker can trick a web application's users into performing actions of the attacker's choosing. If the victim is a regular user, a successful CSRF attack can force them to perform state-changing requests such as funds transfers or email address changes. If the victim is an administrative account, CSRF can compromise the entire web application.","To prevent CSRF, anti-forgery tokens (also known as request verification tokens) should be used. These are randomly generated values included in every form or request requiring protection. The value must be unique per session, ensuring that each form/request is tied to the authenticated user and therefore protected from CSRF.",Low,Low,352
Excessive HTTP Headers,Low,"During analysis, a valid server response was observed containing an excessive number of HTTP headers. This large number of headers exposes a wide range of potentially sensitive information that can assist an attacker in reconnaissance activities.","Excessive exposure of HTTP headers can reveal sensitive information about the infrastructure, technologies in use, software versions, and internal tokens or identifiers. Attackers can use this data to perform reconnaissance, identify attack vectors, and facilitate exploitation of other vulnerabilities in the environment.","Reduce the exposure of sensitive information in HTTP headers returned by the server. Evaluate the need for each header present in the response and remove unnecessary ones. Additionally, implement controls to limit disclosure of technical information that could assist an attacker's reconnaissance efforts.",Low,Low,209
Clickjacking,Low,"Clickjacking, also known as a ""UI redress attack,"" occurs when a malicious actor loads the target site inside a frame (such as an iframe) as the first CSS layer, while using one or more opaque layers as a second CSS layer overlaid on top, creating a layout designed to lure the user's click. When the user clicks a button or link on the visible page, they believe they are interacting with the top layer, when in fact they are triggering the action on the underlying page - often a password change or another sensitive action. In effect, the attacker hijacks the user's clicks, which the user believes are directed at something legitimate. Using a similar technique, keystrokes can also be hijacked: through a careful combination of stylesheets, iframes, and text boxes, a user can be led to believe they are typing a password into the correct field, while actually typing into an invisible iframe controlled by the attacker.","An attacker can hijack user clicks by exploiting the clickjacking flaw on the site, which is possible because the site allows its content to be framed in an iframe not controlled by itself.",Suggested recommendations: Include Content Security Policy (CSP) directives in the response header that instruct the browser not to allow framing (via iframe) from other domains. Include an X-Frame-Options header in the response. Add defensive client-side code to ensure the current frame is the top-level window.,Low,Low,1021
Cross-Origin Resource Sharing (CORS) Misconfiguration,Medium,"The application accepts access to resources from any origin, including untrusted ones. A key aspect of secure application development is preventing untrusted origins from accessing local domain resources.","Arbitrary, untrusted domains can access local domain resources, bypassing the Same-Origin Policy (SOP). The vulnerability is amplified if the CORS-vulnerable domain also has other vulnerabilities, such as Cross-Site Scripting (XSS) and/or Cross-Site Request Forgery (CSRF).","Suggested recommendations: Restrict which origin domains can access resources via JavaScript (e.g., XHR) on the local domain. Block any and all arbitrary origins from accessing local resources, permitting access only to trusted origins.",Medium,Medium,942
Authentication / Authorization Weakness,Medium,"The application uses known-outdated authentication mechanisms that do not guarantee the security of data in transit - for example, using hashing (MD5) or encoding (Base64) to protect personal information such as usernames and passwords. A key aspect of secure application development is ensuring users authenticate securely. Relying on legacy authentication methods (or inappropriate hashing/encoding) can compromise data security and integrity, giving a malicious actor a point of exploitation.","A malicious actor can launch a range of attacks against these legacy authentication mechanisms, from brute-force attacks to discover usernames and passwords, to using known exploits from public tool repositories, in an attempt to gain unauthorized access to restricted application resources.","Suggested recommendation: Adopt current, industry-standard authentication mechanisms.",Medium,Medium,326
